label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10
5	1012 m/(s^2)	0.2461	Bakersfield	volleyball	0.1215	613 N	0.0115	-0.0093	1131	158 m^2	1361
5	825 m/(s^2)	0.2976	Bakersfield	volleyball	-0.1658	1354 N	0.2774	0.2645	975	655 m^2	951
0	320 m/(s^2)	1.0773	Fremont	track & field	1.0249	293 N	0.8215	0.4736	341	1108 m^2	652
0	737 m/(s^2)	1.2601	Fremont	ice hockey	0.9331	333 N	0.9699	0.5235	1	534 m^2	976
6	1017 m/(s^2)	0.9155	Los Angeles	running, tennis		843 N	1.0572	0.8899	1145	45 m^2	967
2	680 m/(s^2)	0.9519	San Diego	golf	0.4482	1026 N	0.8689	?	NULL	1219 m^2	277
5	295 m/(s^2)	0.4806	Chula Vista	volleyball	0.0256	818 N	0.0728	0.2526	700	765 m^2	1231
3	1137 m/(s^2)	0.987	Oakland	baseball	0.6522	1203 N	1.0326	0.5398	758	345 m^2	1046
5	667 m/(s^2)	0.7594	San Bernardino	volleyball	0.0281	858 N	-0.1444	0.5096	1025	277 m^2	1631
0	24 m/(s^2)	1.2032	Santa Clarita	track & field	0.9405	-100 N	0.9584	0.342	523	729 m^2	1072
6	784 m/(s^2)	1.3918	stockton	football	0.9186	337 N	1.0653	0.9998	1083	-121 m^2	888
5	793 m/(s^2)	0.3263	Chula Vista	volleyball	0.2167	731 N	0.0686	0.2568	1345	4 m^2	1354
5	1448 m/(s^2)	0.5093	Chula Vista	volleyball	-0.3303	874 N	0.0757	0.5171	1089	24 m^2	1038
1	618 m/(s^2)	0.8419	Santa Ana	basketball	1.0543	1511 N	1.1856	-0.109	1167	629 m^2	981
4	882 m/(s^2)	1.1057	Riverside	soccer	0.9417	842 N	0.4513	0.8514	823	413 m^2	643
6	699 m/(s^2)	0.9755	Oakland	football	1.2477	740 N	1.0285	0.6108	589	419 m^2	835
3	997 m/(s^2)	0.6705	Fresno	motor sports, badminton	1.0575	1551 N	1.176	0.8578	753	158 m^2	1013
2	443 m/(s^2)	1.0155	San Diego	golf	0.8951	591 N	0.7554	0.7622	899	300 m^2	270
0	305 m/(s^2)	1.101	Irvine	ice hockey	0.692	?	1.1943	0.549	296	437 m^2	893
0	128 m/(s^2)	0.5763	San Bernardino	track & field	0.7467	917 N	0.7741	0.7539	332	765 m^2	874
5	610 m/(s^2)	0.8806	Bakersfield	volleyball	0.1468	1071 N	0.0198	0.485	957	844 m^2	718
0	-18 m/(s^2)	1.136	Santa Clarita	track & field	0.8578	335 N	0.8076	0.7425	397	945 m^2	1226
0	682 m/(s^2)	0.897	Santa Clarita	track & field	0.8244	256 N	0.8597	0.5687	501	901 m^2	853
6	580 m/(s^2)	0.8482	Los Angeles	running, football	0.7804	354 N	0.8655	0.3218	1299	99 m^2	933
2	-97 m/(s^2)	0.9917	Fresno	golf	1.0133	1482 N	0.7196	0.5213	703	262 m^2	226
0	222 m/(s^2)	1.2927	Irvine	track & field	1.0016	185 N	0.9463	0.5516	409	798 m^2	770
6	627 m/(s^2)	0.9108	Long Beach	running, football	1.0721	1355 N	1.2433	0.5885	926	252 m^2	821
5	None	0.2456	Fresno	volleyball	0.4286	1232 N	0.0723	0.1329	1032	252 m^2	1097
2	323 m/(s^2)	1.0263	Modesto	Baseball	0.9056	1035 N	0.4616	0.5509	869	1058 m^2	224
3	926 m/(s^2)	0.9846	Oakland	baseball, badminton	1.0586	1049 N	0.8589	1.0462	921	607 m^2	1262
3	1015 m/(s^2)	0.7742	Oakland	motor sports	0.8018	919 N	0.9204	0.9798	920	355 m^2	819
4	543 m/(s^2)	0.9181	San Francisco	soccer	1.0168	-10 N	0.0915	0.7922	996	1106 m^2	545
5	1099 m/(s^2)	0.7856	Bakersfield	volleyball	0.127	1381 N	-0.0922	0.1278	816	805 m^2	1238
4	922 m/(s^2)	0.9072	San Francisco	running, tennis	0.7931	1132 N	0.3062	0.7525	1333	780 m^2	441
2	621 m/(s^2)	1.2537	San Diego	GOLF	0.605	1172 N	0.8436	1.1276	1117	574 m^2	514
2	626 m/(s^2)	0.9791	San Diego	golf	0.7373	857 N	1.1393	0.768	1208	304 m^2	-73
2	195 m/(s^2)	1.121	Sacramento	golf	0.499	1070 N	0.8603	0.7644	671	1045 m^2	204
0	686 m/(s^2)	0.8877	Fremont	track & field	1.066	-176 N	0.9927	0.6979	246	805 m^2	776
5	425 m/(s^2)	0.5501	Bakersfield	volleyball	0.4531	1295 N	0.3029	0.3216	960	437 m^2	989
4	885 m/(s^2)	0.9457	Fresno	soccer	0.8744	1272 N	0.1165	0.8666	759	818 m^2	321
1	142 m/(s^2)	0.5106	Riverside	football	1.1256	1159 N	0.959	-0.0021	1166	23 m^2	1235
6	882 m/(s^2)	0.9022	Long Beach	tennis	1.2162	941 N	1.0356	0.6808	829	-31 m^2	547
1	202 m/(s^2)	1.1715	Anaheim	basketball	1.0682	500 N	1.0437	-0.0989	765	859 m^2	983
2	658 m/(s^2)	0.6464	Modesto	golf	0.3852	1728 N	0.7611	0.6937	898	200 m^2	218
5		0.1176	Chula Vista	volleyball	0.2832	1086 N	-0.1958	0.2431	783	559 m^2	?
6	600 m/(s^2)	0.9984	Modesto	running, tennis	1.3507	867 N	1.1081	1.2098	790	237 m^2	1005
2	364 m/(s^2)	0.8491	Sacramento	golf	0.767	516 N	0.4837	0.7693	839	120 m^2	171
3	1346 m/(s^2)	0.497	Fresno	n/a	1.1619	819 N	0.6084	1.0135	521	541 m^2	742
2	721 m/(s^2)	0.8134	Riverside	golf	0.6049	612 N	1.0361	0.6744	1187	703 m^2	19
6	881 m/(s^2)	0.9233	Long Beach	Volleyball	0.8429	-154 N	0.8656	0.8121	1211	259 m^2	908
2	895 m/(s^2)	1.3918	Riverside	golf	0.5477	607 N	0.9819	0.5998	1089	793 m^2	262
6	556 m/(s^2)	0.6283	Oakland	tennis	1.0245	854 N	1.0614	1.0077	1328	369 m^2	665
3	1546 m/(s^2)	0.6577	Oakland	badminton, motor sports	0.9598	785 N	0.8252	0.7378	643	80 m^2	1174
6	758 m/(s^2)	1.1629	Stockton	running	0.8691	894 N	0.8579	0.74	915	518 m^2	1102
5	906 m/(s^2)	0.4341	Chula Vista	volleyball	-0.0113	1115 N	0.0212	0.0665	1059	499 m^2	905
0	528 m/(s^2)	1.0075	Irvine	ice hockey	0.9783	-144 N	0.8813	0.3694	159	694 m^2	1631
6	790 m/(s^2)	0.9568	Stockton	running	0.9535	731 N	0.8422	0.8839	1462	277 m^2	586
2	620 m/(s^2)	0.4766	San Diego	golf	0.5327	1002 N	0.8358	0.7787	1101	222 m^2	265
0	161 m/(s^2)	1.0368	San Diego	track & field	0.6322	n/a	0.9234	0.2948	109	1531 m^2	713
4	1035 m/(s^2)	1.0283	Oakland	soccer	1.1372	1129 N	0.5246	0.8058	719	616 m^2	447
1	985 m/(s^2)	0.9873	Santa Ana	boxing	0.6792	938 N	0.8599	0.0779	1262	1414 m^2	496
3	1089 m/(s^2)	0.7331	Long Beach	motor sports	0.9028	833 N	0.9964	0.6272	945	222 m^2	916
5	1371 m/(s^2)	0.75	Chula Vista	volleyball	0.5255	1053 N	0.0571	0.494	938	729 m^2	706
2	507 m/(s^2)	1.2574	San Diego	golf	0.9016	1147 N	0.8639	0.9922	876	617 m^2	230
2	748 m/(s^2)	1.2332	Sacramento	golf	0.6525	1294 N	1.0663	0.781	1160	601 m^2	56
3	855 m/(s^2)	1.178	Fresno	boxing	1.0521	1464 N	1.1956	0.6028	938	95 m^2	978
0	-36 m/(s^2)	1.0549	Fremont	ICE HOCKEY	0.555	98 N	1.1512	1.0141	-34	759 m^2	1011
0	71 m/(s^2)	1.0668	San Jose	track & field	0.8753	-2 N	1.1288	0.6033	364	524 m^2	936
2	370 m/(s^2)	0.8183	Sacramento	golf	0.4537	1173 N	0.8283	0.5381	974	744 m^2	-26
3	797 m/(s^2)	1.4836	Fresno	baseball, badminton	1.3232	1391 N	1.1844	0.7217	762	651 m^2	1052
4	1140 m/(s^2)	1.209	San Francisco	soccer	1.1248	1127 N	0.4888	0.6736	838	894 m^2	641
0	723 m/(s^2)	0.8769	Oakland	track & field	0.9928	-234 N	1.1067	0.6474	572	1038 m^2	729
1	193 m/(s^2)	0.978	Fresno	boxing	1.0873	1475 N	1.0183	-0.2148	892	425 m^2	1050
0	507 m/(s^2)	0.9021	Fremont	ice hockey	1.0664	-711 N	0.9907	0.4887	-38	979 m^2	1165
6	799 m/(s^2)	0.9083	Los Angeles	tennis	1.2402	299 N	1.0456	0.9315	886	543 m^2	774
6	701 m/(s^2)	0.8855	Modesto	tennis, running	0.8256	642 N	0.5625	0.2725	1018	214 m^2	1217
0	-180 m/(s^2)	0.655		football	0.9238	326 N	0.7453	0.1965	447	882 m^2	1181
0	453 m/(s^2)	0.955	San Jose	N/A	0.8849	47 N	1.2632	0.6249	250	1003 m^2	1293
4	730 m/(s^2)	1.0654	San Francisco	soccer	0.8908	978 N	0.3729	0.4737	1309	1074 m^2	902
5	1010 m/(s^2)	0.1185	bAKERSFIELD	volleyball	0.2241	1114 N	0.3116	0.2272	937	627 m^2	731
2	1106 m/(s^2)	0.8507	San Diego	golf	0.6245	802 N	0.8616	0.8348	925	768 m^2	276
3	1184 m/(s^2)	0.8297	Oakland	badminton, motor sports	1.4186	1024 N	0.8012	0.5738	673	-88 m^2	905
5	914 m/(s^2)	0.5246	Bakersfield	volleyball	0.446	911 N	-0.0818	0.4641	1065	261 m^2	968
3	1537 m/(s^2)	1.0359	Fresno	motor sports	1.1176	842 N	1.072	0.7746	748	643 m^2	812
3	1172 m/(s^2)	0.842	Santa Clarita	baseball	1.0518	1115 N	0.7785	0.7209	882	961 m^2	926
5	987 m/(s^2)	0.2896	Bakersfield	volleyball	0.2467	957 N	0.1047	0.1552	794	150 m^2	1184
5	1084 m/(s^2)	0.7307	Bakersfield	volleyball	0.5117	986 N	0.117	0.1212	1025	547 m^2	710
2	281 m/(s^2)	1.0106	Riverside	golf	0.8947	1233 N	?	0.5597	981	578 m^2	65
0	423 m/(s^2)	0.8837	san jose	track & field	0.6232	101 N	0.9745	0.7213	320	566 m^2	1045
4	812 m/(s^2)	0.8667	San Francisco	soccer	1.0782	859 N	0.5823	0.6384	599	711 m^2	373
0	238 m/(s^2)	0.8258	Santa Clarita	track & field	0.7156	58 N	1.0687	0.8468	395	1114 m^2	909
5	206 m/(s^2)	0.5391	Chula Vista	volleyball	0.3788	746 N	0.0107	0.6064	749	615 m^2	1246
6	471 m/(s^2)	1.0568	San Francisco	football	1.0972	883 N	0.6521	1.1538	1009	23 m^2	889
0	464 m/(s^2)	0.6384	Santa Clarita	track & field	1.0605	303 N	0.737	0.7495	390	942 m^2	1161
0	73 m/(s^2)	1.2986	Fremont	track & field	1.2448	-28 N	1.2957	0.6746	491	857 m^2	1041
2	717 m/(s^2)	1.2722	Moreno Valley	golf	0.5232	736 N	0.9954	0.8709	835	749 m^2	176
0	164 m/(s^2)	0.73	Santa Clarita	ice hockey	0.8672	435 N	0.9868	0.5607	258	891 m^2	1346
2	808 m/(s^2)	0.9593	San Diego	golf	0.7465	663 N	1.146	0.6057	1198	667 m^2	91
2	957 m/(s^2)	0.641	Sacramento	golf	0.6717	794 N	0.5344	0.8125	918	1059 m^2	277
2	586 m/(s^2)	0.9884	San Diego	golf	0.7109	956 N	0.9548	0.2147	1037	764 m^2	-136
0	-116 m/(s^2)	1.257	San Jose	track & field	1.2185	-8 N	1.014	0.881	495	881 m^2	896
3	367 m/(s^2)	1.0406	Fresno	badminton	1.4274	732 N	0.9536	0.5256	896	404 m^2	1331
3	1210 m/(s^2)	0.918	Fresno	badminton	0.6658	867 N	0.9264	0.5382	701	1011 m^2	869
3	935 m/(s^2)	0.953	Oakland	motor sports, badminton	0.8819	789 N	0.9561	0.8625	1272	180 m^2	?
1	121 m/(s^2)	1.0903	San Bernardino	basketball	0.8971	1093 N	1.0294	0.049	1052	734 m^2	879
2	602 m/(s^2)	1.1482	Riverside	golf	1.0071	1019 N	0.8852	0.7267	1270	491 m^2	130
1	525 m/(s^2)	0.854	Anaheim	basketball	1.2835	757 N	0.657	0.2579	1111	1002 m^2	965
2	658 m/(s^2)	1.1233	Moreno Valley	golf	0.5775	1436 N	0.7649	0.6735	1079	849 m^2	47
5	449 m/(s^2)	0.4589	Chula Vista	volleyball	0.0016	1255 N	0.2592	0.6399	932	-74 m^2	978
0	301 m/(s^2)	1.0922	Santa Clarita	ice hockey	1.0758	946 N	0.9086	0.5083	77	243 m^2	1370
3	934 m/(s^2)	1.0637	Fresno	badminton	0.9741	756 N	0.9308	NULL	829	158 m^2	1214
5	1203 m/(s^2)	0.5544	Fresno	volleyball	0.322	712 N	0.1945	0.158	1164	1138 m^2	923
6	1001 m/(s^2)	1.2777	Los Angeles	running, tennis	1.1041	716 N	0.7512	0.9777	866	643 m^2	1007
4	675 m/(s^2)	0.6164	San Francisco	soccer	1.1149	760 N	0.1297	0.4809	796	670 m^2	803
3	893 m/(s^2)	0.9779	Oakland	badminton, motor sports	1.1469	926 N	1.1563	0.8501	779	85 m^2	992
0	575 m/(s^2)	0.9865	Fremont	track & field	0.7626	-218 N	1.3918	0.9219	726	493 m^2	850
1	327 m/(s^2)	0.8651	Anaheim	boxing	1.135	963 N	1.1843	0.2552	1121	1155 m^2	1125
3	1058 m/(s^2)	1.0592	Fresno	badminton	0.9546	711 N	0.6931	1.047	584	350 m^2	859
0	34 m/(s^2)	0.9024	Santa Clarita	track & field	0.972	260 N	0.9956	0.3541	567	1258 m^2	984
2	493 m/(s^2)	1.0946	Moreno Valley	golf	0.4214	1188 N	0.8833	0.6263	1044	429 m^2	319
4	702 m/(s^2)	0.7102	San Francisco	soccer	1.0286	966 N	-0.1921	0.6373	999	940 m^2	703
4	1062 m/(s^2)	0.9034	San Francisco	soccer	0.9651	970 N	0.3018	0.9605	986	545 m^2	480
6	801 m/(s^2)	0.6936	Los Angeles	running	0.9067	399 N	0.9418	0.9167	899	523 m^2	1029
6	1140 m/(s^2)	1.025	Stockton	football	0.9387	654 N	0.7848	0.8034	932	743 m^2	865
6	657 m/(s^2)	0.5415	Modesto	running	0.955	483 N	0.8182	0.6158	1169	-234 m^2	1271
1	224 m/(s^2)	0.8609	Santa Ana	basketball	0.7102	844 N		-0.486	1065	987 m^2	787
1	389 m/(s^2)	1.0902	Anaheim	basketball	1.0532	861 N	1.0872	-0.2737	764	998 m^2	883
3	1495 m/(s^2)	0.6818	Modesto	badminton, baseball	0.8482	1288 N	0.84	0.5529	967	671 m^2	803
0	-284 m/(s^2)	1.0245	Irvine	track & field	0.8753	741 N	0.7598	0.5224	663	595 m^2	704
2	756 m/(s^2)	1.1602	Moreno Valley	golf	0.6025	1160 N	0.6024	0.6954	803	355 m^2	-5
5	675 m/(s^2)	0.2294	Chula Vista	volleyball	0.4699	1209 N	-0.058	0.4217	730	898 m^2	896
5	644 m/(s^2)	0.4015	Chula Vista	volleyball	0.3397	989 N	0.0808	0.4244	968	778 m^2	874
4	815 m/(s^2)	1.1558	San Francisco	soccer	1.0915	579 N	0.2861	0.7118	1198	757 m^2	400
1	1178 m/(s^2)	0.3803	San Bernardino	basketball	0.775	959 N	1.1601	0.1232	988	1229 m^2	1272
1	?	0.6484	San Bernardino	basketball	0.6544	1030 N	0.7813	0.3913	1153	1016 m^2	827
1	282 m/(s^2)	1.2684	Santa Ana	basketball	0.7706	1088 N	1.0729	0.1297	910	939 m^2	1135
6	663 m/(s^2)	0.8499	Modesto	running	1.0353	507 N	0.7899	0.7764	755	205 m^2	992
5	1118 m/(s^2)	0.364	Chula Vista	volleyball	0.1714	1107 N	0.0599	0.0977	911	555 m^2	910
0	550 m/(s^2)	0.6324	Santa Clarita	track & field	1.0468	192 N	1.0387	0.3554	434	837 m^2	1296
0	8 m/(s^2)	0.6411	Santa Clarita	ice hockey	0.6981	130 N	1.0728	0.6791	369	604 m^2	1216
3	953 m/(s^2)	0.7478	OAKLAND	badminton, baseball	0.9507	1200 N	0.8901	0.5603	1057	774 m^2	978
6	910 m/(s^2)	1.0911	Riverside	football, running	0.9036	631 N		0.9534	1002	493 m^2	1048
5	519 m/(s^2)	0.3857	Moreno Valley	volleyball	0.17	1047 N	0.0577	0.1643	931	193 m^2	1319
6	337 m/(s^2)	0.3843	Modesto	tennis, running	0.9981	750 N	1.0482	0.7876	1096	440 m^2	895
3	1015 m/(s^2)	1.3107	Oakland	baseball	1.0918	913 N	0.7931	0.9577	844	483 m^2	843
3	1016 m/(s^2)	1.0494	Oakland	baseball, badminton	1.1774	618 N	1.027	0.7142	883	411 m^2	1203
6	218 m/(s^2)	1.0253	Stockton	running, tennis	1.1592	811 N	1.0715	0.8151	943	469 m^2	667
1	275 m/(s^2)	1.6634	San Francisco	Boxing	1.0528	843 N	0.6775	0.1726	968	570 m^2	1276
5	670 m/(s^2)	0.2108	Bakersfield	volleyball	0.1626	813 N	0.0946	0.3475	959	-36 m^2	980
0	351 m/(s^2)	0.8232	Fremont	ice hockey	0.7706	510 N	0.9258	0.576	448	1052 m^2	1012
1	369 m/(s^2)	1.0353	Anaheim	basketball	0.6766	742 N	0.9597	0.1643	1065	1314 m^2	770
2	453 m/(s^2)	0.7933	Moreno Valley	golf	0.7922	845 N	0.5858	0.6534	826	641 m^2	-94
6	826 m/(s^2)	1.0807	Los Angeles	running	0.6079	308 N	N/A	0.9712	1197	-17 m^2	968
3	788 m/(s^2)	1.0592	Oakland	baseball, badminton	1.0927	1203 N	0.917	1.0938	714	627 m^2	902
1	320 m/(s^2)	0.9677	San Bernardino	boxing	0.8514	1156 N	1.0204	0.1188	1197	897 m^2	1190
5	736 m/(s^2)	0.3431	sTOCKTON	volleyball	0.2301	1047 N	0.1405	0.0196	953	928 m^2	1121
4	714 m/(s^2)	0.9948	San Jose	soccer	0.8724	985 N	0.3026	0.4619	1070	977 m^2	408
3	782 m/(s^2)	0.9223	Oakland	badminton	0.8307	653 N	1.0512	0.681	788	260 m^2	742
5	1195 m/(s^2)	0.438	Bakersfield	volleyball	0.1435	1415 N	0.0914	0.3837	1298	-230 m^2	757
1	669 m/(s^2)	0.9978	San Bernardino	boxing	0.9001	1040 N	1.2403	-0.0438	1182	195 m^2	932
6	858 m/(s^2)	0.7394	Long Beach	tennis, football	1.1702	993 N	1.1217	1.1027	720	141 m^2	1085
2	560 m/(s^2)	0.9441	Sacramento	golf	0.5564	1185 N	0.327	0.8499	1004	1358 m^2	-414
0	-5 m/(s^2)	0.6843	Fremont	track & field	0.9469	316 N	1.0314	0.8062	463	997 m^2	1159
3	651 m/(s^2)	1.0178	Fresno	badminton, motor sports	0.7283	1011 N	1.2022	0.7209	750	349 m^2	1082
1	997 m/(s^2)	0.7674	Anaheim	boxing	0.8927	741 N	1.0393	-0.2394	751	631 m^2	1191
4	1315 m/(s^2)	1.0978	san francisco	soccer	1.0353	1196 N	0.1169	0.6688	1157	931 m^2	732
1	873 m/(s^2)	0.6875	San Bernardino	running, tennis	1.2003	622 N	1.2806	0.2937	713	1188 m^2	1450
0	-48 m/(s^2)	0.9476	Irvine	ice hockey	1.0395	239 N	0.9985	0.6555	173	912 m^2	942
4	1323 m/(s^2)	0.9903	sAN fRANCISCO	soccer	0.9546	1273 N	0.7666	0.6313	1234	891 m^2	577
5	1058 m/(s^2)	0.7539	San Francisco	volleyball	0.3014	1038 N	-0.1233	0.3165	1017	440 m^2	861
6	1120 m/(s^2)	1.3237	Modesto	football, tennis	1.245	602 N	1.0641	1.081	964	154 m^2	786
5	NULL	0.1724	Chula Vista	volleyball	0.2772	983 N	-0.0764	0.1114	986	995 m^2	948
4	631 m/(s^2)	0.9861	San Francisco	soccer	1.1088	1578 N	0.1776	1.014	1146	880 m^2	389
2	379 m/(s^2)	0.736	Sacramento	golf	0.504	1012 N	0.9771	1.089	1403	-76 m^2	30
2	431 m/(s^2)	0.7871	Santa Ana	golf	0.4878	1065 N	0.8949	0.9029	654	448 m^2	314
0	100 m/(s^2)	0.9964	Santa Clarita	ice hockey	0.9575	590 N	1.2052	0.743	353	218 m^2	1333
1	273 m/(s^2)	0.8698	Santa Ana	basketball	0.5313	889 N	0.964	0.072	662	1008 m^2	760
0	126 m/(s^2)	1.2387	Fremont	track & field	0.8197	346 N	0.7486	0.5045	441	329 m^2	891
1	439 m/(s^2)	0.9937	San Bernardino	boxing	0.8917	1578 N	1.0707	-0.0989	996	1518 m^2	1299
6	660 m/(s^2)	0.9645	Modesto	tennis, running	0.7665	770 N	0.6855	N/A	855	563 m^2	983
4	1022 m/(s^2)	0.7409	San Francisco	soccer	0.8698	1393 N	0.3698	0.4142	922	1027 m^2	374
6	1104 m/(s^2)	1.3627	Modesto	running	1.4393	None	0.6466	0.8511	868	174 m^2	666
6	1204 m/(s^2)	0.7218	Stockton	football	1.344	309 N	0.9653	0.9101	980	531 m^2	988
3	662 m/(s^2)	1.0465	Anaheim	baseball	0.7972	930 N	1.0225	0.5306	961	634 m^2	1221
0	617 m/(s^2)	0.5334	Santa Clarita	ICE HOCKEY	0.8718	693 N	0.9648	0.3021	118	871 m^2	1024
6	751 m/(s^2)	1.4315	Long Beach	tennis	1.4387	974 N	0.6716	0.798	918	99 m^2	925
1	540 m/(s^2)	0.9474	Anaheim	ice hockey	0.8272	1181 N	0.9286	-0.1886	1068	918 m^2	1014
2	913 m/(s^2)	1.0355	Riverside	golf	0.5994	1152 N	0.8574	0.705	1082	577 m^2	n/a
2	432 m/(s^2)	1.0491	Fresno	golf	0.8836	1132 N	0.6926	0.8769	1467	737 m^2	-72
0	100 m/(s^2)	0.9692	San Jose	ice hockey	0.7784	38 N	0.641	0.6453	303	903 m^2	593
5	412 m/(s^2)	0.9462	Bakersfield	volleyball	0.38	1276 N	-0.1102	0.4645	1021	34 m^2	1291
0	228 m/(s^2)	0.9531	Chula Vista	track & field	0.9121	595 N	0.6784	0.3433	331	978 m^2	?
4	827 m/(s^2)	0.6012	San Francisco	soccer	0.7952	630 N	0.5078	0.7249	726	1096 m^2	759
4	780 m/(s^2)	0.828	San Francisco	soccer	0.8058	1111 N	0.5381	0.7493	970	1073 m^2	509
5	816 m/(s^2)	0.2645	Bakersfield	volleyball	0.1085	1424 N	0.0311	0.3077	1014	403 m^2	1062
1	923 m/(s^2)	1.0432	San Bernardino	boxing	1.0553	752 N	1.4327	-0.1483	868	1065 m^2	1168
2	285 m/(s^2)	1.0559	Stockton	golf	0.6861	809 N	0.4048	0.2843	658	297 m^2	322
4	664 m/(s^2)	0.4767	San Francisco	soccer	0.8117	1127 N	0.3533	0.7939	1082	984 m^2	783
6	1069 m/(s^2)	0.6364	Stockton	running	1.0719	766 N	0.9278	0.8575	773	85 m^2	711
5	881 m/(s^2)	0.3069	Chula Vista	volleyball	0.13	1083 N	0.1306	0.1133	1138	480 m^2	970
2	785 m/(s^2)	0.7492	San Francisco	golf	0.4543	1220 N	1.0974	0.3062	765	815 m^2	182
1	518 m/(s^2)	1.0438	San Bernardino	basketball	0.9225	637 N	1.1032	-0.1328	1261	741 m^2	1031
4	1165 m/(s^2)	1.3303	San Jose	soccer	0.7811	695 N	0.7686	0.7705	938	1027 m^2	635
1	778 m/(s^2)	0.9033	Riverside	basketball	1.0173	1513 N	0.8544	0.0398	1348	1180 m^2	1188
5	1293 m/(s^2)	0.1112	Chula Vista	volleyball	-0.075	1398 N	-0.1791	0.0799	990	?	1111
5	751 m/(s^2)	0.6658	Chula Vista	volleyball	0.2217	1279 N	0.1039	0.2533	1034	-162 m^2	1100
6	997 m/(s^2)	0.8836	Long Beach	football, tennis	1.0202	1088 N	0.99	0.8629	1054	-143 m^2	1134
3	735 m/(s^2)	1.1108	Long Beach	motor sports, badminton	1.1273	1150 N	1.1959	0.3677	867	195 m^2	1360
2	NULL	0.988	San Diego	golf	0.3501	1132 N	0.7658	0.925	901	404 m^2	408
3	1313 m/(s^2)	1.1482	Oakland	badminton, baseball	1.1502	1042 N	1.1704	0.7397	854	608 m^2	910
2	793 m/(s^2)	0.8813	San Diego	golf	0.4832	1258 N	0.8667	0.7009	1324	456 m^2	541
3	1103 m/(s^2)	0.7519	Oakland	baseball, motor sports	1.0775	863 N	0.9612	0.7777	1031	644 m^2	1277
1	413 m/(s^2)	0.9993	San Bernardino	boxing	0.8274	891 N	0.7772	-0.532	751		1022
1	835 m/(s^2)	0.9543	Anaheim	boxing	0.8942	905 N	1.085	0.2972	1227	1148 m^2	931
4	1155 m/(s^2)	0.9452	San Francisco	soccer	1.2865	801 N	0.291	0.7911	N/A	1006 m^2	613
